ID;Expedition;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Delay_or_OnTime_Y.N;Province_Code;
35;J&T;Ship;4;2;3260628;4;medium;F;316008;2460;1;20;
36;JNE;Ship;5;4;2140236;3;medium;F;632016;1811;1;29;
37;Ninja Express;Ship;3;5;1967868;4;high;F;890568;1477;1;15;
38;JNE;Ship;2;4;2599884;6;medium;F;229824;3605;1;6;
39;SiCepat;Ship;5;1;3088260;4;low;F;804384;3905;1;8;
40;TIKI;Ship;4;2;3863916;5;low;F;646380;2383;1;9;
41;J&T;Ship;5;1;3260628;2;low;M;215460;3798;1;12;
42;JNE;Ship;5;5;1996596;4;medium;M;876204;1265;1;10;
43;Ninja Express;Ship;3;5;1967868;2;medium;M;545832;1647;1;11;
44;JNE;Ship;3;1;2499336;2;low;M;632016;1556;1;18;
45;SiCepat;Ship;3;1;2168964;2;low;M;416556;1328;1;14;
46;TIKI;Ship;5;1;3016440;3;low;F;129276;2944;1;25;
47;J&T;Ship;3;4;2427516;4;medium;F;459648;1245;1;14;
48;JNE;Ship;5;1;2298240;2;low;M;459648;1576;1;15;
49;Ninja Express;Ship;5;4;2729160;2;medium;M;129276;3753;1;26;
50;JNE;Ship;5;3;3102624;3;low;F;574560;2146;1;2;
51;SiCepat;Ship;4;1;2628612;3;low;M;531468;2042;1;16;
52;TIKI;Ship;4;4;2025324;3;low;M;316008;1735;1;13;
53;J&T;Ship;4;3;2370060;3;low;F;632016;1320;1;34;
54;JNE;Ship;2;1;2441880;3;low;M;588924;1128;1;25;
55;Ninja Express;Ship;4;3;2915892;3;high;M;172368;3539;1;34;
56;JNE;Ship;2;5;3533544;5;low;M;660744;2437;1;26;
57;SiCepat;Ship;3;3;3418632;3;low;F;876204;3096;1;26;
58;TIKI;Ship;3;3;2772252;3;medium;F;416556;3453;1;12;
59;J&T;Ship;5;5;2025324;3;high;M;588924;1367;1;8;
60;JNE;Ship;4;1;2154600;3;high;F;244188;1923;1;31;
61;Ninja Express;Ship;3;1;3174444;3;low;F;919296;2794;1;12;
62;JNE;Ship;3;3;2571156;3;medium;M;746928;1158;1;16;
63;SiCepat;Ship;5;1;1508220;6;medium;M;890568;1292;1;12;
64;TIKI;Ship;3;1;2542428;3;medium;M;876204;1880;1;12;
65;J&T;Ship;4;5;3749004;2;high;M;703836;3045;1;14;
66;JNE;Ship;3;2;2901528;3;low;M;703836;2881;1;10;
67;Ninja Express;Ship;3;2;1565676;3;medium;F;215460;1710;1;15;
68;JNE;Ship;3;3;2269512;3;low;F;86184;1878;1;3;
69;SiCepat;Ship;4;2;3318084;4;medium;F;86184;2512;1;23;
70;TIKI;Ship;3;5;2958984;3;medium;M;560196;2929;1;13;
71;J&T;Ship;5;1;2686068;4;high;M;201096;3849;1;6;
72;JNE;Ship;5;5;3303720;2;low;F;28728;2229;1;13;
73;Ninja Express;Ship;5;5;3332448;3;medium;F;474012;2998;1;13;
74;JNE;Ship;4;5;3088260;3;medium;F;301644;3984;1;30;
75;SiCepat;Ship;6;1;3418632;6;low;F;186732;2442;1;29;
76;TIKI;Ship;4;1;3820824;3;low;F;330372;3775;1;26;
77;J&T;Ship;2;3;2269512;2;medium;F;517104;1788;1;7;
78;JNE;Ship;3;3;1623132;3;low;F;617652;1518;1;32;
79;Ninja Express;Ship;3;4;3203172;3;low;M;258552;3959;1;1;
80;JNE;Ship;3;5;3691548;2;medium;F;804384;3711;1;22;
81;SiCepat;Ship;3;4;2585520;2;medium;F;703836;1942;1;16;
82;TIKI;Ship;2;5;1896048;3;low;M;258552;1759;1;14;
83;J&T;Ship;4;4;3116988;3;high;F;373464;2875;1;28;
84;JNE;Ship;5;5;2326968;3;high;F;445284;1364;1;26;
85;Ninja Express;Ship;4;5;2829708;2;medium;F;574560;2710;1;17;
86;JNE;Ship;3;4;2829708;3;medium;M;186732;2148;1;26;
87;SiCepat;Ship;4;1;2657340;2;low;M;632016;2910;1;22;
88;TIKI;Ship;6;2;3993192;3;medium;F;43092;2974;1;1;
89;J&T;Ship;3;3;3289356;3;low;M;703836;2339;1;17;
90;JNE;Ship;4;1;2671704;4;medium;F;818748;3880;1;2;
91;Ninja Express;Ship;5;3;2499336;6;high;F;588924;1085;1;30;
92;JNE;Ship;5;5;4108104;3;low;F;258552;3163;1;17;
93;SiCepat;Ship;4;4;2513700;2;medium;F;100548;1188;1;31;
94;TIKI;Ship;3;3;3145716;3;medium;F;244188;3387;1;4;
95;J&T;Ship;4;1;3059532;4;high;F;502740;2343;1;10;
96;JNE;Ship;2;3;3375540;3;low;M;818748;2034;1;27;
97;Ninja Express;Ship;3;3;2140236;2;medium;M;258552;1225;1;21;
98;JNE;Ship;4;1;3892644;2;medium;F;114912;2401;1;9;
99;SiCepat;Ship;3;5;2068416;4;medium;M;71820;1104;1;11;
100;TIKI;Ship;4;2;2082780;2;medium;M;301644;1617;1;34;
101;J&T;Ship;5;3;2054052;2;medium;M;847476;1837;1;9;
102;JNE;Ship;5;5;3260628;4;low;M;761292;2624;1;2;
103;Ninja Express;Ship;2;1;3059532;3;low;M;416556;2732;1;23;
104;JNE;Ship;5;1;2068416;4;low;M;531468;1658;1;5;
105;SiCepat;Ship;3;3;3131352;3;low;M;43092;2255;1;29;
106;TIKI;Ship;4;2;2068416;3;medium;M;847476;1588;1;21;
107;J&T;Ship;3;1;3418632;3;low;M;244188;2624;1;25;
108;JNE;Ship;4;5;3102624;3;high;M;373464;2053;1;17;
109;Ninja Express;Ship;4;5;3418632;3;high;F;790020;3257;1;29;
110;JNE;Ship;4;1;2025324;3;medium;M;675108;1250;1;21;
111;SiCepat;Road;3;1;2269512;2;low;M;28728;1284;1;4;
112;TIKI;Road;4;2;3432996;3;low;F;933660;3679;1;32;
113;J&T;Road;4;3;2513700;2;low;M;359100;1816;1;1;
114;JNE;Road;3;2;3777732;3;low;M;588924;2817;1;33;
115;Ninja Express;Road;3;5;2413152;2;high;M;718200;1616;1;6;
116;JNE;Road;3;4;2528064;3;high;M;517104;1779;1;30;
117;SiCepat;Road;4;1;2154600;4;high;M;861840;1024;1;4;
118;TIKI;Road;4;3;3806460;2;medium;F;445284;2326;1;17;
119;J&T;Road;2;5;3777732;3;low;F;71820;2947;1;12;
120;JNE;Road;5;1;2082780;3;low;M;287280;1387;1;11;
121;Ninja Express;Road;4;2;2628612;3;low;F;474012;2741;1;15;
122;JNE;Road;3;3;2944620;3;medium;F;272916;2167;1;22;
123;SiCepat;Road;4;2;2298240;3;low;M;919296;1714;1;31;
124;TIKI;Road;3;3;3619728;2;medium;F;689472;2102;1;26;
125;J&T;Road;5;5;3188808;3;low;M;143640;2280;1;3;
126;JNE;Road;3;3;2915892;2;low;M;359100;3607;1;29;
127;Ninja Express;Road;4;5;3160080;3;medium;M;574560;3516;1;3;
128;JNE;Road;3;3;2111508;4;low;F;861840;1722;1;7;
129;SiCepat;Road;4;4;2872800;4;medium;M;229824;2060;1;28;
130;TIKI;Road;4;5;3217536;4;medium;M;301644;2026;1;17;
131;J&T;Road;3;5;2571156;2;low;F;244188;1364;1;1;
132;JNE;Road;3;4;2068416;3;low;M;718200;1865;1;11;
133;Ninja Express;Flight;5;2;3547908;3;low;M;244188;3889;1;2;
134;JNE;Flight;5;4;4021920;6;medium;F;732564;3582;1;8;
135;SiCepat;Flight;3;3;2413152;2;medium;F;14364;1829;1;9;
136;TIKI;Flight;3;5;2255148;3;medium;F;57456;1889;1;15;
137;J&T;Flight;3;3;2714796;4;medium;F;732564;2208;1;8;
138;JNE;Flight;3;5;2326968;2;medium;M;100548;1739;1;27;
139;Ninja Express;Flight;4;1;2973348;5;low;M;689472;2399;1;17;
140;JNE;Flight;5;1;3404268;2;low;F;143640;3860;1;6;
141;SiCepat;Flight;4;4;3792096;3;high;M;847476;2020;1;32;
142;TIKI;Flight;5;4;2140236;3;low;M;732564;1645;1;30;
143;J&T;Flight;5;5;2326968;3;low;M;588924;1462;1;27;
144;JNE;Flight;2;1;2944620;4;medium;F;904932;2156;1;28;
145;Ninja Express;Flight;2;1;2269512;3;medium;F;732564;1540;1;16;
146;JNE;Flight;2;2;3562272;2;low;M;660744;3707;1;22;
147;SiCepat;Flight;3;5;2743524;3;low;M;330372;3750;1;9;
148;TIKI;Flight;4;3;2097144;4;medium;F;344736;1844;1;30;
149;J&T;Flight;3;3;1939140;3;low;M;804384;1490;1;4;
150;JNE;Flight;5;1;2140236;3;low;M;574560;1062;1;7;
151;Ninja Express;Flight;4;4;3160080;2;medium;F;100548;2551;1;22;
152;JNE;Flight;5;3;1407672;5;medium;M;632016;1269;1;30;
153;SiCepat;Flight;3;4;1393308;4;low;M;459648;1238;1;1;
154;TIKI;Flight;3;3;2628612;2;low;M;761292;3932;1;33;
155;J&T;Ship;3;3;2326968;3;medium;F;114912;1869;1;15;
156;JNE;Ship;5;1;1637496;4;low;F;675108;1443;1;10;
157;Ninja Express;Ship;6;3;3950100;5;low;M;588924;2491;1;18;
158;JNE;Ship;3;2;2915892;2;medium;F;560196;3845;1;21;
159;SiCepat;Ship;5;5;2944620;2;high;M;933660;3671;1;20;
160;TIKI;Ship;3;3;2140236;3;low;F;904932;1946;1;22;
161;J&T;Ship;2;2;1608768;4;medium;M;804384;1138;1;12;
162;JNE;Ship;3;1;2973348;3;medium;F;804384;3482;1;18;
163;Ninja Express;Ship;4;1;3749004;4;low;F;833112;3427;1;17;
164;JNE;Ship;5;2;3935736;3;medium;M;86184;3375;1;15;
165;SiCepat;Ship;3;5;2025324;2;low;M;746928;1692;1;7;
166;TIKI;Ship;3;3;2384424;4;medium;F;244188;1498;1;1;
167;J&T;Ship;5;2;2025324;3;high;F;488376;1020;1;33;
168;JNE;Ship;4;5;2183328;3;low;M;617652;1709;1;19;
169;Ninja Express;Ship;4;2;3591000;3;low;F;761292;2478;1;24;
170;JNE;Ship;4;3;2312604;3;medium;F;402192;1809;1;24;
171;SiCepat;Ship;4;3;2657340;3;medium;F;143640;2263;1;9;
172;TIKI;Ship;4;4;2528064;4;high;F;746928;1096;1;3;
173;J&T;Ship;3;4;2125872;3;low;M;804384;1550;1;23;
174;JNE;Ship;3;2;3878280;3;low;F;904932;2751;1;30;
175;Ninja Express;Ship;3;3;3476088;3;low;F;732564;3935;1;24;
176;JNE;Ship;4;4;2154600;2;medium;M;43092;1285;1;21;
177;SiCepat;Ship;4;5;2757888;3;high;M;287280;3872;1;10;
178;TIKI;Ship;4;5;1666224;3;medium;M;775656;1314;1;32;
179;J&T;Ship;3;3;2757888;3;medium;F;28728;3995;1;18;
180;JNE;Ship;5;5;3662820;4;medium;M;43092;3440;1;31;
181;Ninja Express;Ship;4;1;2312604;7;medium;F;258552;1294;1;15;
182;JNE;Ship;4;5;2255148;3;low;M;287280;1487;1;17;
183;SiCepat;Ship;3;2;2355696;10;high;F;402192;1940;1;21;
184;TIKI;Ship;3;5;2326968;7;medium;F;229824;1052;1;20;
185;J&T;Ship;3;3;2097144;2;low;M;718200;1486;1;17;
186;JNE;Ship;3;2;3002076;3;medium;M;775656;3001;1;26;
187;Ninja Express;Ship;5;4;1924776;2;medium;F;790020;1386;1;3;
188;JNE;Ship;2;1;3188808;2;medium;M;71820;3778;1;16;
189;SiCepat;Ship;2;5;1996596;3;low;F;387828;1233;1;27;
190;TIKI;Ship;2;4;1924776;3;low;F;603288;1415;1;21;
191;J&T;Ship;2;5;1867320;3;low;M;229824;1092;1;30;
192;JNE;Ship;2;5;1910412;3;low;F;890568;1596;1;31;
193;Ninja Express;Ship;2;4;2010960;3;low;F;100548;1411;1;30;
194;JNE;Ship;2;2;2269512;3;low;M;402192;1968;1;20;
195;SiCepat;Ship;4;2;3878280;4;low;F;660744;1736;1;9;
196;TIKI;Ship;2;5;2010960;3;low;F;430920;1030;1;22;
197;J&T;Ship;2;2;1939140;3;low;M;215460;1339;1;23;
198;JNE;Ship;2;3;1953504;3;low;F;272916;1568;1;15;
199;Ninja Express;Ship;2;3;2039688;3;medium;F;545832;7640;1;20;
200;JNE;Ship;2;2;2212056;3;medium;M;545832;7846;1;4;
201;SiCepat;Ship;2;3;1996596;3;low;M;129276;1471;1;16;
202;TIKI;Ship;2;3;2298240;3;low;F;617652;1251;1;31;
203;J&T;Ship;2;4;1924776;3;low;M;833112;1067;1;33;
204;JNE;Ship;5;3;2312604;5;high;M;689472;1883;1;29;
205;Ninja Express;Ship;2;5;2226420;3;low;M;330372;1602;1;23;
206;JNE;Ship;2;3;2082780;3;medium;F;344736;7588;1;26;
207;SiCepat;Ship;2;2;2255148;3;low;M;14364;1477;1;28;
208;TIKI;Ship;2;2;2298240;3;low;M;689472;1691;1;15;
209;J&T;Ship;2;4;2183328;3;low;M;790020;1498;1;33;
210;JNE;Ship;2;5;2125872;3;high;F;158004;1502;1;10;
211;Ninja Express;Ship;2;1;1824228;3;low;F;215460;1522;1;15;
212;JNE;Ship;2;5;2212056;3;low;F;301644;1113;1;24;
213;SiCepat;Ship;2;5;1824228;3;low;M;632016;1341;1;18;
214;TIKI;Ship;2;5;2298240;3;medium;F;445284;7401;1;3;
215;J&T;Ship;2;4;1852956;3;low;F;689472;1219;1;30;
216;JNE;Ship;2;5;2269512;3;low;F;574560;1722;1;24;
217;Ninja Express;Ship;4;3;2657340;3;medium;M;43092;3131;1;18;
218;JNE;Ship;4;4;2528064;4;high;F;904932;1293;1;17;
219;SiCepat;Ship;3;4;2125872;3;low;M;531468;1523;1;33;
220;TIKI;Ship;3;5;3878280;3;low;M;861840;3885;1;20;
221;J&T;Ship;3;4;3476088;3;low;M;416556;2381;1;6;
222;JNE;Ship;4;3;2154600;2;medium;M;445284;1588;1;11;
223;Ninja Express;Ship;4;2;2757888;3;high;M;57456;2061;1;26;
224;JNE;Ship;4;5;1666224;3;medium;F;129276;1314;1;17;
225;SiCepat;Ship;3;4;2757888;3;medium;F;445284;3331;1;6;
226;TIKI;Ship;5;4;3662820;4;medium;F;545832;2771;1;6;
227;J&T;Ship;4;3;2312604;7;medium;M;904932;1496;1;11;
228;JNE;Ship;4;2;2255148;3;low;F;689472;1393;1;5;
229;Ninja Express;Ship;3;2;2355696;10;high;M;201096;1375;1;17;
230;JNE;Ship;3;3;2326968;7;medium;F;603288;1278;1;28;
231;SiCepat;Ship;3;1;2097144;2;low;F;775656;1528;1;23;
232;TIKI;Ship;3;4;3002076;3;medium;F;861840;2240;1;20;
233;J&T;Ship;5;5;1924776;2;medium;M;761292;1088;1;18;
234;JNE;Ship;2;1;3188808;2;medium;M;833112;3626;1;4;
235;Ninja Express;Ship;2;1;1996596;3;low;F;560196;1582;1;17;
236;JNE;Ship;2;2;1924776;3;low;M;545832;1352;1;2;
237;SiCepat;Ship;2;3;1867320;3;low;F;689472;1801;1;34;
238;TIKI;Ship;2;2;1910412;3;low;M;71820;1268;1;3;
239;J&T;Ship;2;3;2010960;3;low;F;330372;1372;1;3;
240;JNE;Ship;2;3;2269512;3;low;M;143640;1515;1;33;
241;Ninja Express;Ship;4;5;3878280;4;low;M;933660;1818;1;28;
242;JNE;Ship;2;4;2010960;3;low;F;474012;1278;1;19;
243;SiCepat;Ship;2;2;1939140;3;low;M;833112;1734;1;11;
244;TIKI;Ship;2;4;1953504;3;low;M;617652;1958;1;24;
245;J&T;Ship;2;1;2039688;3;medium;F;114912;6064;1;19;
246;JNE;Ship;2;4;2212056;3;medium;F;689472;7684;1;28;
247;Ninja Express;Ship;2;3;1996596;3;low;F;43092;1788;1;5;
248;JNE;Road;2;4;2298240;3;low;F;718200;1030;1;28;
249;SiCepat;Road;2;2;1924776;3;low;F;545832;1530;1;11;
250;TIKI;Road;5;5;2312604;5;high;F;775656;1511;1;20;
251;J&T;Road;2;3;2226420;3;low;F;646380;1639;1;22;
252;JNE;Road;2;2;2082780;3;medium;F;71820;6102;1;19;
253;Ninja Express;Road;2;1;2255148;3;low;M;833112;1930;1;27;
254;JNE;Road;2;5;2298240;3;low;F;272916;1399;1;29;
255;SiCepat;Road;2;2;2183328;3;low;F;876204;1800;1;27;
256;TIKI;Road;2;2;2125872;3;high;F;502740;1349;1;15;
257;J&T;Road;2;2;1824228;3;low;M;186732;1128;1;1;
258;JNE;Road;2;2;1852956;3;medium;F;316008;6614;1;28;
259;Ninja Express;Road;2;3;2269512;3;low;F;186732;1245;1;14;
260;JNE;Road;2;4;2111508;3;low;M;71820;1920;1;10;
261;SiCepat;Road;2;5;2283876;3;low;F;703836;1621;1;8;
262;TIKI;Road;2;3;2168964;3;low;F;330372;1930;1;12;
263;J&T;Road;3;1;4223016;4;low;F;746928;1089;1;29;
264;JNE;Road;3;2;3246264;2;medium;M;646380;1446;1;22;
265;Ninja Express;Road;5;3;3892644;5;high;M;129276;1813;1;28;
266;JNE;Road;7;2;2915892;5;medium;F;876204;1856;1;32;
267;SiCepat;Road;2;3;3792096;4;low;F;143640;1648;1;5;
268;TIKI;Road;4;1;3705912;3;medium;M;517104;2211;1;31;
269;J&T;Road;3;5;3461724;3;low;F;301644;3078;1;18;
270;JNE;Flight;4;5;2987712;3;medium;M;330372;2056;1;6;
271;Ninja Express;Flight;3;2;3002076;5;medium;F;172368;3054;1;16;
272;JNE;Flight;5;1;2614248;2;medium;F;330372;2707;1;21;
273;SiCepat;Flight;4;5;2125872;2;medium;F;617652;1087;1;18;
274;TIKI;Flight;2;3;2628612;2;medium;F;746928;3199;1;13;
275;J&T;Flight;3;5;3289356;6;medium;M;316008;2717;1;24;
276;JNE;Flight;5;5;1651860;5;low;F;373464;1692;1;21;
277;Ninja Express;Flight;4;2;1953504;3;low;F;933660;1962;1;4;
278;JNE;Flight;4;4;3045168;3;low;M;301644;3307;1;7;
279;SiCepat;Flight;4;3;2456244;3;low;F;344736;1304;1;24;
280;TIKI;Flight;3;1;2168964;2;low;M;861840;1925;1;1;
281;J&T;Flight;3;1;2944620;3;medium;M;560196;3062;1;12;
282;JNE;Flight;5;4;2111508;3;medium;M;330372;1132;1;2;
283;Ninja Express;Flight;3;3;2226420;3;low;F;416556;1712;1;31;
284;JNE;Flight;5;4;2370060;3;low;F;287280;1150;1;10;
285;SiCepat;Flight;5;5;3303720;3;low;F;459648;3249;1;5;
286;TIKI;Flight;2;4;2599884;4;medium;M;186732;2309;1;6;
287;J&T;Flight;5;3;3361176;2;low;F;790020;3308;1;27;
288;JNE;Flight;4;4;2140236;3;low;M;488376;1977;1;15;
289;Ninja Express;Flight;5;5;2240784;2;low;M;632016;1561;1;17;
290;JNE;Flight;4;2;2470608;3;medium;F;847476;1858;1;12;
291;SiCepat;Flight;4;4;3878280;3;low;M;172368;3279;1;25;
292;TIKI;Ship;4;1;2958984;3;medium;M;330372;3807;1;18;
293;J&T;Ship;4;3;3030804;4;medium;M;574560;3106;1;2;
294;JNE;Ship;3;2;1953504;4;low;M;890568;1090;1;27;
295;Ninja Express;Ship;5;1;2671704;2;high;F;746928;3981;1;20;
296;JNE;Ship;3;1;2901528;2;medium;M;890568;3398;1;3;
297;SiCepat;Ship;4;2;2628612;3;medium;F;172368;3646;1;13;
298;TIKI;Ship;4;4;3332448;2;low;M;517104;2861;1;1;
299;J&T;Ship;4;2;2111508;4;medium;M;746928;1129;1;21;
300;JNE;Ship;4;3;1953504;3;medium;M;287280;1531;1;23;
301;Ninja Express;Ship;5;3;1824228;3;low;F;617652;1446;1;3;
302;JNE;Ship;4;5;2901528;2;medium;M;502740;3695;1;11;
303;SiCepat;Ship;3;4;3461724;2;low;M;818748;3671;1;25;
304;TIKI;Ship;4;3;3188808;2;medium;M;790020;3833;1;20;
305;J&T;Ship;3;2;2628612;4;medium;F;172368;2777;1;13;
306;JNE;Ship;4;4;3576636;3;medium;F;517104;3769;1;7;
307;Ninja Express;Ship;3;1;3490452;4;high;M;847476;3838;1;22;
308;JNE;Ship;3;3;2341332;3;medium;M;129276;1257;1;23;
309;SiCepat;Ship;4;2;2370060;2;high;M;158004;1596;1;6;
310;TIKI;Ship;5;5;3820824;3;medium;F;761292;3089;1;31;
311;J&T;Ship;3;4;2772252;2;medium;M;689472;3909;1;23;
312;JNE;Ship;3;2;2212056;3;low;F;804384;1136;1;5;
313;Ninja Express;Ship;3;3;2010960;3;medium;M;732564;1046;1;15;
314;JNE;Ship;4;3;3907008;3;medium;M;545832;3705;1;27;
315;SiCepat;Ship;4;2;2054052;6;medium;M;287280;1654;1;30;
316;TIKI;Ship;4;2;1982232;3;low;F;430920;1805;1;28;
317;J&T;Ship;4;2;3418632;2;high;M;244188;3358;1;33;
318;JNE;Ship;4;5;3921372;4;medium;F;445284;2373;1;8;
319;Ninja Express;Ship;3;1;2872800;2;medium;M;387828;2551;1;32;
320;JNE;Ship;4;5;3059532;4;low;M;560196;2381;1;15;
321;SiCepat;Ship;3;4;3217536;2;medium;F;215460;2701;1;9;
322;TIKI;Ship;4;5;2025324;3;medium;M;172368;1672;1;20;
323;J&T;Ship;3;3;2154600;3;low;M;660744;1040;1;16;
324;JNE;Ship;3;1;2757888;2;low;M;474012;2818;1;4;
325;Ninja Express;Ship;5;1;4007556;4;medium;F;344736;3440;1;9;
326;JNE;Ship;3;4;3533544;3;medium;M;430920;3748;1;4;
327;SiCepat;Ship;3;4;2484972;3;medium;M;746928;1587;1;18;
328;TIKI;Ship;4;4;3346812;4;medium;F;847476;2358;1;10;
329;J&T;Ship;5;1;3935736;2;medium;M;344736;2423;1;8;
330;JNE;Ship;4;5;3490452;4;medium;F;588924;2782;1;31;
331;Ninja Express;Ship;3;4;2829708;3;medium;F;804384;3427;1;14;
332;JNE;Ship;4;3;2010960;3;high;F;660744;1072;1;11;
333;SiCepat;Ship;3;5;3088260;3;medium;F;316008;2585;1;1;
334;TIKI;Ship;3;4;3030804;3;medium;M;114912;3710;1;16;
335;J&T;Ship;4;2;3160080;5;low;M;474012;2854;1;25;
336;JNE;Ship;3;1;2786616;4;low;M;919296;2026;1;14;
337;Ninja Express;Ship;5;1;3763368;3;medium;F;833112;3599;1;32;
338;JNE;Ship;4;4;2887164;2;low;F;14364;3147;1;32;
339;SiCepat;Ship;3;5;3749004;3;medium;M;215460;2989;1;15;
340;TIKI;Ship;4;4;2743524;6;low;F;861840;3425;1;1;
341;J&T;Ship;2;5;3662820;5;medium;F;761292;3775;1;27;
342;JNE;Ship;3;2;2427516;2;high;M;430920;1698;1;10;
343;Ninja Express;Ship;4;5;2326968;2;medium;M;919296;1918;1;7;
344;JNE;Ship;2;5;3562272;6;low;F;890568;2750;1;16;
345;SiCepat;Ship;5;3;2829708;4;low;F;28728;2222;1;23;
346;TIKI;Ship;5;1;3792096;3;low;M;86184;2882;1;28;
347;J&T;Ship;5;5;3734640;2;medium;F;790020;2791;1;23;
348;JNE;Ship;5;3;2671704;2;medium;F;833112;2259;1;2;
349;Ninja Express;Ship;4;5;3346812;4;low;F;632016;2551;1;16;
350;JNE;Ship;5;1;2312604;3;low;M;675108;1954;1;33;
351;SiCepat;Ship;4;5;2700432;3;low;F;186732;2409;1;1;
352;TIKI;Ship;5;5;2456244;2;medium;F;316008;1695;1;20;
353;J&T;Ship;2;2;3835188;3;medium;M;215460;2481;1;27;
354;JNE;Ship;4;3;3662820;2;high;M;675108;2956;1;34;
355;Ninja Express;Ship;3;2;1896048;3;low;F;804384;1303;1;34;
356;JNE;Ship;5;1;3820824;3;low;F;445284;3157;1;21;
357;SiCepat;Ship;3;4;2844072;2;low;M;359100;2774;1;30;
358;TIKI;Ship;2;3;3547908;2;medium;F;890568;3127;1;12;
359;J&T;Ship;3;1;2010960;3;medium;F;933660;1291;1;24;
360;JNE;Ship;4;3;1881684;5;low;M;86184;1659;1;14;
361;Ninja Express;Ship;5;2;3533544;3;medium;M;703836;3236;1;15;
362;JNE;Ship;3;2;2283876;3;medium;F;57456;1681;1;33;
363;SiCepat;Ship;3;5;2915892;2;medium;M;876204;3642;1;13;
364;TIKI;Ship;4;3;2686068;4;high;F;416556;3141;1;11;
365;J&T;Ship;6;2;2097144;3;low;F;890568;1936;1;14;
366;JNE;Ship;3;2;3361176;3;medium;M;560196;2099;1;20;
367;Ninja Express;Ship;3;4;1752408;3;high;F;215460;1354;1;16;
368;JNE;Ship;3;3;1939140;3;low;M;114912;1074;1;23;
369;SiCepat;Ship;3;5;1479492;3;low;M;43092;1403;1;24;
370;TIKI;Ship;3;5;3691548;3;medium;F;272916;2173;1;9;
371;J&T;Ship;4;3;2427516;2;low;M;28728;1399;1;23;
372;JNE;Ship;4;5;2283876;3;medium;M;258552;1808;1;11;
373;Ninja Express;Ship;4;5;2700432;3;low;M;545832;3031;1;22;
374;JNE;Ship;5;1;1953504;3;medium;M;272916;1420;1;6;
375;SiCepat;Ship;5;1;3260628;3;low;F;272916;3007;1;16;
376;TIKI;Ship;3;5;3763368;2;low;F;761292;3275;1;18;
377;J&T;Ship;2;3;2255148;2;low;M;646380;1965;1;16;
378;JNE;Ship;5;3;3418632;2;medium;F;301644;2053;1;2;
379;Ninja Express;Ship;3;5;2183328;3;low;M;617652;1282;1;27;
